Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
08/04/2018 09:30:00 AM,08/04/2018 09:30:00 AM,Manhattan,Central Park,East Drive at East 90th on Bridal Path entrance,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1596705664,ACC,1,false,false,,,false,false,37021
08/04/2018 09:15:00 AM,08/04/2018 09:20:00 AM,Manhattan,Central Park,Rumsey Playfield/Summer Stage Entrance right off the East Drive at East 68th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1596705663,ACC,1,false,false,,,false,false,37020
08/04/2018 08:50:00 AM,08/04/2018 08:50:00 AM,Manhattan,Central Park,West 72nd Pergala not far fro park entrance and Strawberry Fields,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1596705662,ACC,1,false,false,,,false,false,37019
08/04/2018 08:00:00 AM,08/04/2018 08:40:00 AM,Manhattan,Central Park,North meadow Ballfield close to East 96th and Eastdrive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1596705661,ACC,1,false,false,,,false,false,37018
08/03/2018 11:45:00 AM,08/03/2018 11:56:00 AM,Staten Island,Midland Beach,Beach off of Seaver Avenue,Herring Gull,Employee,Native,Unhealthy,1.5,Juvenile,Birds,1-1-1598979882,ACC,1,false,false,,,false,false,36935
08/03/2018 12:04:00 PM,08/03/2018 12:10:00 AM,Manhattan,Central Park,In front of stairway entrance of Chess and Checkers visitor center. Center Drive East 64th street.,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1596159521,ACC,1,false,false,,,false,false,
08/02/2018 02:45:00 PM,08/02/2018 02:55:00 PM,Manhattan,Central Park,Turtle Pond on East Drive and East 79th,Red-eared Slider Turtle,Public,Domestic,Healthy,0.05,Adult,Domestic,N/A,Advised/Educated others,1,false,false,,,false,false,
08/03/2018 09:30:00 AM,08/03/2018 09:55:00 AM,Manhattan,Central Park,102nd st & East Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.5,false,false,
08/03/2018 07:30:00 AM,08/03/2018 09:15:00 AM,Manhattan,Central Park,Fredrick Douglas Circle. 110th and Malcom X Blvd,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.15,Adult,Domestic,n/a,Unfounded,0,false,false,,,true,false,
08/03/2018 09:00:00 AM,08/03/2018 09:20:00 AM,Manhattan,Central Park,Sheep Meadow close to West Drive. Cross Street Westt 66th and CPW,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1597160331,ACC,1,false,false,,,false,false,36918
